-1.00595E-06,-0.2435303
4.16503E-06,97046.53
8.6763E-05,1636703
0.000169772,3.05E+06
0.000251173,4.34E+06
0.000338361,5.66E+06
0.000418868,6.85E+06
0.00050736,8.14E+06
0.000593621,9.35E+06
0.000673865,1.04E+07
0.00076103,1.15E+07
0.000844016,1.26E+07
0.000925108,1.35E+07
0.001002989,1.43E+07
0.001082622,1.52E+07
0.001164079,1.60E+07
0.001243599,1.67E+07
0.001327284,1.75E+07
0.001408377,1.82E+07
0.001491212,1.89E+07
0.001570589,1.96E+07
0.001653308,2.02E+07
0.001736063,2.09E+07
0.001736063,2.09E+07
0.001733496,2.09E+07
0.001558183,1.85E+07
0.001383001,1.60E+07
0.001224161,1.38E+07
0.001050126,1.14E+07
0.00088985,9.26E+06
0.000729692,7.15E+06
0.000575204,5.26E+06
0.000415395,3.47E+06
0.00025937,1.81E+06
9.5476E-05,-8.06E+04
-7.72379E-05,-2.47E+06
-0.000247212,-4.87E+06
-0.000416478,-7.19E+06
-0.000579581,-9.38E+06
-0.000739702,-1.14E+07
-0.000909286,-1.34E+07
-0.001074384,-1.51E+07
-0.001236476,-1.67E+07
-0.001398582,-1.81E+07
-0.001560888,-1.94E+07
-0.001560888,-1.94E+07
-0.001559048,-1.94E+07
-0.001318872,-1.61E+07
-0.00107387,-1.27E+07
-0.00083142,-9.33E+06
-0.00059518,-6.17E+06
-0.00036239,-3.39E+06
-0.000130551,-8.83E+05
0.000110231,2.05E+06
0.000352126,5.02E+06
0.000593297,7.90E+06
0.000839616,1.08E+07
0.001086629,1.36E+07
0.001328507,1.64E+07
0.001570035,1.91E+07
0.001805447,2.14E+07
0.00204433,2.32E+07
0.002282724,2.48E+07
0.002521783,2.63E+07
0.002759187,2.78E+07
0.002994111,2.91E+07
0.003226274,3.05E+07
0.003226274,3.05E+07
0.003224787,3.04E+07
0.002904358,2.63E+07
0.002587432,2.23E+07
0.002275331,1.86E+07
0.001968002,1.55E+07
0.001661415,1.27E+07
0.001356119,1.02E+07
0.001048772,7.80E+06
0.000735894,5.37E+06
0.000416504,2.81E+06
8.77915E-05,-1.61E+05
-0.000252948,-4.15E+06
-0.000575037,-7.98E+06
-0.000901338,-1.19E+07
-0.001219266,-1.56E+07
-0.001538933,-1.92E+07
-0.001851779,-2.18E+07
-0.002166277,-2.40E+07
-0.002480565,-2.60E+07
-0.002797559,-2.80E+07
-0.00311388,-2.98E+07
-0.00311388,-2.98E+07
-0.003112352,-2.98E+07
-0.002715064,-2.46E+07
-0.002317785,-1.97E+07
-0.001935868,-1.55E+07
-0.00156119,-1.20E+07
-0.001183331,-8.97E+06
-0.000779104,-5.83E+06
-0.000372767,-2.64E+06
3.88851E-05,1.03E+06
0.000444941,5.08E+06
0.000851443,9.02E+06
0.00124472,1.27E+07
0.001634859,1.64E+07
0.00202744,1.99E+07
0.002450525,2.37E+07
0.00285386,2.73E+07
0.003244733,3.06E+07
0.00363206,3.26E+07
0.004019246,3.45E+07
0.004418363,3.63E+07
0.00480631,3.79E+07
0.00480631,3.79E+07
0.004804372,3.79E+07
0.00432353,3.20E+07
0.00386237,2.70E+07
0.003414535,2.31E+07
0.0029649,1.95E+07
0.00250291,1.61E+07
0.002034376,1.28E+07
0.00154516,9.49E+06
0.001051936,6.19E+06
0.000563873,2.83E+06
7.4014E-05,-7.96E+05
-0.000416566,-5.25E+06
-0.000897043,-9.83E+06
-0.001387354,-1.45E+07
-0.001874544,-1.90E+07
-0.002358187,-2.33E+07
-0.002838384,-2.75E+07
-0.003306182,-3.10E+07
-0.003773007,-3.34E+07
-0.004235684,-3.55E+07
-0.004702671,-3.75E+07
-0.004702671,-3.75E+07
-0.004701298,-3.75E+07
-0.004147646,-3.07E+07
-0.003612852,-2.52E+07
-0.003097296,-2.09E+07
-0.002568964,-1.68E+07
-0.002017718,-1.29E+07
-0.00145729,-9.14E+06
-0.000877263,-5.25E+06
-0.000307907,-1.30E+06
0.000258278,2.94E+06
0.000831768,7.63E+06
0.001387692,1.22E+07
0.001935803,1.66E+07
0.002494101,2.10E+07
0.003053823,2.53E+07
0.003600736,2.94E+07
0.004149517,3.34E+07
0.004696371,3.72E+07
0.005231016,3.95E+07
0.005758556,4.09E+07
0.006305341,4.19E+07
0.006305341,4.19E+07
0.006304457,4.19E+07
0.005689565,3.51E+07
0.005107454,3.00E+07
0.004516191,2.53E+07
0.003912047,2.09E+07
0.00327377,1.66E+07
0.00262734,1.25E+07
0.001980914,8.61E+06
0.001327099,4.75E+06
0.000676091,1.06E+06
2.74542E-05,-2.76E+06
-0.000609134,-7.05E+06
-0.001248898,-1.19E+07
-0.001878168,-1.69E+07
-0.002509499,-2.17E+07
-0.003138056,-2.64E+07
-0.00377412,-3.10E+07
-0.004411852,-3.54E+07
-0.005029079,-3.86E+07
-0.005632327,-4.03E+07
-0.00624139,-4.15E+07
-0.00624139,-4.15E+07
-0.006240628,-4.15E+07
-0.005554317,-3.40E+07
-0.004893003,-2.83E+07
-0.004222241,-2.32E+07
-0.003516083,-1.83E+07
-0.002795211,-1.36E+07
-0.00205616,-9.03E+06
-0.001315408,-4.71E+06
-0.000587015,-5.99E+05
0.000143426,3.56E+06
0.000852849,7.96E+06
0.001562879,1.26E+07
0.002281946,1.73E+07
0.002987984,2.20E+07
0.003689401,2.65E+07
0.004397792,3.09E+07
0.005099969,3.52E+07
0.005808785,3.93E+07
0.006491099,4.24E+07
0.00719169,4.35E+07
0.007908237,4.43E+07
0.007908237,4.43E+07
0.007907519,4.43E+07
0.007165023,3.71E+07
